,TV,radio,newspaper,sales,newspaper_transformed
0,230.1,37.8,69.2,22.1,11.719889333914665
1,44.5,39.3,45.1,10.4,9.400769366894494
2,17.2,45.9,69.3,9.3,11.728438014322819
3,151.5,41.3,58.5,18.5,10.760018214452364
4,180.8,10.8,58.4,12.9,10.750585561561495
5,8.7,48.9,75.0,7.2,12.204361988325
6,57.5,32.8,23.5,11.8,6.580548397772763
7,120.2,19.6,11.6,13.2,4.282207922567397
8,8.6,2.1,1.0,4.8,0.0
9,199.8,2.6,21.2,10.6,6.201372444063689
10,66.1,5.8,24.2,8.6,6.691638911177241
11,214.7,24.0,4.0,17.4,1.8805611082073383
12,23.8,35.1,65.9,9.2,11.433657964910735
13,97.5,7.6,7.2,9.7,3.0732629063645884
14,204.1,32.9,46.0,19.0,9.498883877040196
15,195.4,47.7,52.9,22.4,10.216597438268938
16,67.8,36.6,114.0,12.5,15.006456359054674
17,281.4,39.6,55.8,24.4,10.50196830356956
18,69.2,20.5,18.3,11.3,5.687488762165002
19,147.3,23.9,19.1,14.6,5.8337057644405785
20,218.4,27.7,53.4,18.0,10.26643573005694
21,237.4,5.1,23.5,12.5,6.580548397772763
22,13.2,15.9,49.6,5.6,9.880589487503823
23,228.3,16.9,26.2,15.5,6.999122287455209
24,62.3,12.6,18.3,9.7,5.687488762165002
25,262.9,3.5,19.5,12.0,5.905482651877575
26,142.9,29.3,12.6,15.0,4.517556239918254
27,240.1,16.7,22.9,15.9,6.48378936782105
28,248.8,27.1,22.9,18.9,6.48378936782105
29,70.6,16.0,40.8,10.5,8.915555767994638
30,292.9,28.3,43.2,21.4,9.189840077835303
31,112.9,17.4,38.6,11.9,8.655776787719399
32,97.2,1.5,30.0,9.6,7.547803938578133
33,265.6,20.0,0.3,17.4,-0.9451809129256273
34,95.7,1.4,7.4,9.5,3.1363596253975894
35,290.7,4.1,8.5,12.8,3.4668634033368457
36,266.9,43.8,5.0,25.4,2.2990914100571853
37,74.7,49.4,45.7,14.7,9.466303834909214
38,43.1,26.7,35.1,10.1,8.224133941321025
39,228.0,37.7,32.0,21.5,7.820435756559616
40,202.5,22.3,31.6,16.6,7.766717964715814
41,177.0,33.4,38.7,17.1,8.667768643577181
42,293.6,27.7,1.8,20.7,0.6666252522805712
43,206.9,8.4,26.4,12.9,7.029110414918006
44,25.1,25.7,43.3,8.5,9.201074317761698
45,175.1,22.5,31.5,14.9,7.7532269373057785
46,89.7,9.9,35.7,10.6,8.29984873643479
47,239.9,41.5,18.5,23.2,5.724385312919454
48,227.2,15.8,49.9,14.8,9.911661951731155
49,66.9,11.7,36.8,9.7,8.436764125993172
50,199.8,3.1,34.6,11.4,8.160462473547115
51,100.4,9.6,3.6,10.7,1.6961604467622273
52,216.4,41.7,39.6,22.6,8.774895376324723
53,182.6,46.2,58.7,21.2,10.778855485972137
54,262.7,28.8,15.9,20.2,5.225149722229519
55,198.9,49.4,60.0,23.7,10.9003995486947
56,7.3,28.1,41.4,5.5,8.984986220005986
57,136.2,19.2,16.6,13.2,5.363953510356246
58,210.8,49.6,37.7,23.8,8.547029125415296
59,210.7,29.5,9.3,18.4,3.6918925744810305
60,53.5,2.0,21.4,8.1,6.235264407635324
61,261.3,42.7,54.7,24.2,10.394761067494855
62,239.3,15.5,27.3,15.7,7.1624511934192885
63,102.7,29.6,8.4,14.0,3.4378836744918186
64,131.1,42.8,28.9,18.0,7.393341977323862
65,69.0,9.3,0.9,9.3,-0.10306527385678033
66,31.5,24.6,2.2,9.5,0.9345553466319203
67,139.3,14.5,10.2,13.4,3.9320013578573243
68,237.4,27.5,11.0,18.9,4.135302999592638
69,216.8,43.9,27.2,22.3,7.1477627805621005
70,199.1,30.6,38.7,18.3,8.667768643577181
71,109.8,14.3,31.7,12.4,7.780184237547031
72,26.8,33.0,19.3,8.8,5.869702128037513
73,129.4,5.7,31.3,11.0,7.726170120491591
74,213.4,24.6,13.1,17.0,4.631171108631092
75,16.9,43.7,89.4,8.7,13.320103542129248
76,27.5,1.6,20.7,6.9,6.115822301980297
77,120.5,28.5,14.2,14.2,4.872560441754442
78,5.4,29.9,9.4,5.3,3.7192190955815394
79,116.0,7.7,23.1,11.0,6.516204114669094
80,76.4,26.7,22.3,11.8,6.385547569221984
81,239.8,4.1,36.9,12.3,8.449092527604336
82,75.3,20.3,32.5,11.3,7.887037843982512
83,68.4,44.5,35.6,13.6,8.287281171610216
84,213.5,43.0,33.8,21.7,8.057467530218794
85,193.2,18.4,65.7,15.2,11.4160459283976
86,76.3,27.5,16.0,12.0,5.245193047411863
87,110.7,40.6,63.2,16.0,11.19321813853168
88,88.3,25.5,73.4,12.9,12.072952948759873
89,109.8,47.8,51.4,16.7,10.06542103528503
90,134.3,4.9,9.3,11.2,3.6918925744810305
91,28.6,1.5,33.0,7.3,7.953047886661972
92,217.7,33.5,59.0,19.4,10.807041684114134
93,250.9,36.5,72.3,22.2,11.981642183702009
94,107.4,14.0,10.9,11.5,4.110370267597879
95,163.3,31.6,52.9,16.9,10.216597438268938
96,197.6,3.5,5.9,11.7,2.6358535487656773
97,184.9,21.0,22.0,15.5,6.335850943012215
98,289.7,42.3,51.2,25.4,10.045071652372576
99,135.2,41.7,45.9,17.2,9.488037601453026
100,222.4,4.3,49.8,11.7,9.901316539782169
101,296.4,36.3,100.9,23.8,14.13811002034936
102,280.2,10.1,21.4,14.8,6.235264407635324
103,187.9,17.2,17.9,14.7,5.612987226706675
104,238.2,34.3,5.3,20.7,2.4149891878021923
105,137.9,46.4,59.0,19.2,10.807041684114134
106,25.0,11.0,29.7,7.2,7.506008556579584
107,90.4,0.3,23.2,8.7,6.532350423399665
108,13.1,0.4,25.6,5.3,6.908352483136064
109,255.4,26.9,5.5,19.8,2.490151951391867
110,225.8,8.2,56.5,13.4,10.569553691432134
111,241.7,38.0,23.2,21.8,6.532350423399665
112,175.7,15.4,2.4,14.1,1.0579295075657804
113,209.6,20.6,10.7,15.9,4.060103527295286
114,78.2,46.8,34.5,14.6,8.147664221320031
115,75.1,35.0,52.7,12.6,10.1965855921361
116,139.2,14.3,25.6,12.2,6.908352483136064
117,76.4,0.8,14.8,9.4,4.999667988819876
118,125.7,36.9,79.2,15.9,12.541752506937774
119,19.4,16.0,22.3,6.6,6.385547569221984
120,141.3,26.8,46.2,15.5,9.520535448423955
121,18.8,21.7,50.4,7.0,9.963209391022838
122,224.0,2.4,15.6,11.6,5.164577036634103
123,123.1,34.6,12.4,15.2,4.471378298280325
124,229.5,32.3,74.2,19.7,12.138863036860046
125,87.2,11.8,25.9,10.6,6.953889934239012
126,7.8,38.9,50.6,6.6,9.983745244784378
127,80.2,0.0,9.2,8.8,3.6643949874869706
128,220.3,49.0,3.2,24.7,1.4994432300731917
129,59.6,12.0,43.1,9.7,9.17859073545176
130,0.7,39.6,8.7,1.6,3.5242348795627754
131,265.2,2.9,43.0,12.7,9.16732623519715
132,8.4,27.2,2.1,5.7,0.8704192030527526
133,219.8,33.5,45.1,19.6,9.400769366894494
134,36.9,38.6,65.6,10.8,11.407228241057888
135,48.3,47.0,8.5,11.6,3.4668634033368457
136,25.6,39.0,9.3,9.5,3.6918925744810305
137,273.7,28.9,59.7,20.8,10.872487635018219
138,43.0,25.9,20.5,9.6,6.081266641463125
139,184.9,43.9,1.7,20.7,0.5943473868622209
140,73.4,17.0,12.9,10.9,4.586032431404242
141,193.7,35.4,75.6,19.2,12.25322055708979
142,220.5,33.2,37.9,20.1,8.571324391735844
143,104.6,5.7,34.4,10.4,8.13484442178089
144,96.2,14.8,38.9,11.4,8.691698518705326
145,140.3,1.9,9.0,10.3,3.6088747402002683
146,240.1,7.3,8.7,13.2,3.5242348795627754
147,243.2,49.0,44.3,25.4,9.312598040442634
148,38.0,40.3,11.9,10.9,4.354008484857323
149,44.7,25.8,20.6,10.1,6.098568809969673
150,280.7,13.9,37.0,16.1,8.461401554513879
151,121.0,8.4,48.7,11.6,9.786712284411875
152,197.6,23.3,14.2,16.6,4.872560441754442
153,171.3,39.7,37.7,19.0,8.547029125415296
154,187.8,21.1,9.5,15.6,3.7463774180498617
155,4.1,11.6,5.7,3.2,2.5637446663284136
156,93.9,43.5,50.5,15.3,9.973483217973047
157,149.8,1.3,24.3,10.1,6.7073560246586625
158,11.7,36.9,45.2,7.3,9.411726765591318
159,131.7,18.4,34.6,12.9,8.160462473547115
160,172.5,18.1,30.7,14.4,7.644392418424983
161,85.7,35.8,49.3,13.3,9.849407759409416
162,188.4,18.1,25.6,14.9,6.908352483136064
163,163.5,36.8,7.4,18.0,3.1363596253975894
164,117.2,14.7,5.4,11.9,2.452772532799445
165,234.5,3.4,84.8,11.9,12.975832461601208
166,17.9,37.6,21.6,8.0,6.268973038797313
167,206.8,5.2,19.4,12.2,5.8876191497377315
168,215.4,23.6,57.6,17.1,10.674784562255159
169,284.3,10.6,6.4,15.0,2.810134686561483
170,50.0,11.6,18.4,8.4,5.705966131698243
171,164.5,20.9,47.4,14.5,9.649316769358354
172,19.6,20.1,17.0,7.6,5.441748616998083
173,168.4,7.1,12.8,11.7,4.563310719964182
174,222.4,3.4,13.1,11.5,4.631171108631092
175,276.9,48.9,41.8,27.0,9.030949284827267
176,248.4,30.2,20.3,20.2,6.046514767063555
177,170.2,7.8,35.2,11.7,8.236804949405133
178,276.7,2.3,23.7,11.8,6.612482282912356
179,165.6,10.0,17.6,12.6,5.556474706189934
180,156.6,2.6,8.3,10.5,3.4087030248640975
181,218.5,5.4,27.4,12.2,7.1771084139803
182,56.2,5.7,29.7,8.7,7.506008556579584
183,287.6,43.0,71.8,26.2,11.939870742430143
184,253.8,21.3,30.0,17.6,7.547803938578133
185,205.0,45.1,19.6,22.6,5.923293067559752
186,139.5,2.1,26.6,10.3,7.058966983004421
187,191.1,28.7,18.2,17.3,5.6689527010125955
188,286.0,13.9,3.7,15.9,1.743332167680911
189,18.7,12.1,23.4,6.7,6.564522293180943
190,39.5,41.1,5.8,10.8,2.599979500816769
191,75.5,10.8,6.0,9.9,2.671376427650245
192,17.2,4.1,31.6,5.9,7.766717964715814
193,166.8,42.0,3.6,19.6,1.6961604467622273
194,149.7,35.6,6.0,17.3,2.671376427650245
195,38.2,3.7,13.8,7.6,4.7860816066954674
196,94.2,4.9,8.1,9.7,3.349723485159003
197,177.0,9.3,6.4,12.8,2.810134686561483
198,283.6,42.0,66.2,25.5,11.460017953534045
199,232.1,8.6,8.7,13.4,3.5242348795627754
